instance,time,score,relative
50_20_02,0,638782,2.64163
50_20_02,0,657153,5.59355
50_20_02,0,638782,2.64163
50_20_02,0,638782,2.64163
50_20_02,0,647805,4.09148
50_20_02,0,638782,2.64163
50_20_02,0,638782,2.64163
50_20_02,0,638782,2.64163
50_20_02,0,638782,2.64163
50_20_02,0,638782,2.64163
50_20_02,0,749676,20.4605
50_20_02,0,638782,2.64163
50_20_02,0,649857,4.4212
50_20_02,0,638782,2.64163
50_20_02,43,637614,2.45396
50_20_02,0,638782,2.64163
50_20_02,0,638782,2.64163
50_20_02,0,638782,2.64163
50_20_02,0,638782,2.64163
